1.0 [Titulo:Final Fantasy VII: Remake ; Preco:R$ 188,91; plataforma:ps4; genero:rpg ; Url:http://www.fastgames.com.br; Doc:000 ]
2.0 [Titulo:007 Quantum of Solace ; Preco:R$ 62,91; plataforma:ps3; genero:fps,tiro ; Url:http://www.fastgames.com.br/jogos-seminovos-ct-13-187970.htm; Doc:001 ]
3.0 [Titulo:Gears of War ; Preco:R$ 35,91; plataforma:xbox one; genero:tiro ; Url:http://www.fastgames.com.br/gears-of-war-seminovo-xbox-360-pr-1445-187970.htm; Doc:002 ]
4.0 [Titulo:WRC 6 ; Preco:R$ 161,91; plataforma:xbox one; genero:corrida ; Url:http://www.fastgames.com.br/wrc-6-xbox-one-pr-12163-187970.htm; Doc:003 ]
5.0 [Titulo:Teenage Mutant Ninja Turtles Mutants in Manhattan ; Preco:R$ 161,91; plataforma:xbox one; genero:aventura ; Url:http://www.fastgames.com.br/teenage-mutant-ninja-turtles-mutants-in-manhattan-xbox-one-pr-11351-187970.htm; Doc:004 ]
6.0 [Titulo:WRC 6 ; Preco:R$ 188,91; plataforma:ps4; genero:corrida ; Url:http://www.fastgames.com.br/wrc-6-ps4-pr-12161-187970.htm; Doc:005 ]
7.0 [Titulo:Tekken 7 ; Preco:R$ 197,91; plataforma:ps4; genero:luta ; Url:http://www.fastgames.com.br/tekken-7-ps4-pr-11821-187970.htm; Doc:006 ]
8.0 [Titulo:LEGO Star Wars: The Force Awakens ; Preco:R$ 89,91; plataforma:xbox 360; genero:aventura ; Url:http://www.fastgames.com.br/lego-star-wars-the-force-awakens-xbox-360-pr-11232-187970.htm; Doc:007 ]
9.0 [Titulo:Portal Knights: Gold Throne Edition ; Preco:R$ 152,91; plataforma:xbox one; genero:rpg,acao,survival ; Url:http://www.fastgames.com.br/portal-knights-gold-throne-edition-xbox-one-pr-13459-187970.htm; Doc:008 ]
10.0 [Titulo:Def Jam Rapstar ; Preco:R$ 71,91; plataforma:ps3; genero:simulador ; Url:http://www.fastgames.com.br/def-jam-rapstar-ps3-pr-11607-187970.htm; Doc:009 ]
11.0 [Titulo:Ace Combat 7: Skies Unknown ; Preco:R$ 197,91; plataforma:xbox one; genero:luta ; Url:http://www.fastgames.com.br/ace-combat-7-skies-unknown-pre-venda-xbox-one-pr-12663-187970.htm; Doc:010 ]
12.0 [Titulo:Bound by Flame ; Preco:R$ 62,91; plataforma:xbox 360; genero:arp ; Url:http://www.fastgames.com.br/bound-by-flame-xbox-360-pr-8140-187970.htm; Doc:012 ]
13.0 [Titulo:Dead Rising 2 ; Preco:R$ 71,91; plataforma:xbox one; genero:terror,survival ; Url:http://www.fastgames.com.br/dead-rising-2-xbox-one-pr-12043-187970.htm; Doc:013 ]
14.0 [Titulo:The Surge ; Preco:R$ 179,91; plataforma:ps4; genero:arp ; Url:http://www.fastgames.com.br/the-surge-ps4-pr-12991-187970.htm; Doc:014 ]
15.0 [Titulo:Crash Bandicoot N. Sane Trilogy ; Preco:R$ 134,91; plataforma:ps4; genero:aventura ; Url:http://www.fastgames.com.br/crash-bandicoot-n-sane-trilogy-pre-venda-ps4-pr-12667-187970.htm; Doc:015 ]
16.0 [Titulo:Agents of Mayhem ; Preco:R$ 197,91; plataforma:ps4; genero:acao,aventura ; Url:http://www.fastgames.com.br/agents-of-mayhem-pre-venda-ps4-pr-12633-187970.htm; Doc:016 ]
17.0 [Titulo:Outlast Trinity ; Preco:R$ 125,91; plataforma:ps4; genero:survival,terror ; Url:http://www.fastgames.com.br/outlast-trinity-ps4-pr-12823-187970.htm; Doc:017 ]
18.0 [Titulo:MXGP 3: The Official Motocross Videogame ; Preco:R$ 197,91; plataforma:xbox one; genero:corrida ; Url:http://www.fastgames.com.br/mxgp-3-the-official-motocross-videogame-pre-venda-xbox-one-pr-12887-187970.htm; Doc:019 ]
19.0 [Titulo:Portal Knights: Gold Throne Edition ; Preco:R$ 152,91; plataforma:ps4; genero:rpg,acao,survival ; Url:http://www.fastgames.com.br/portal-knights-gold-throne-edition-ps4-pr-13457-187970.htm; Doc:020 ]
20.0 [Titulo:Fairy Fencer F: Advent Dark Force ; Preco:R$ 215,91; plataforma:ps4; genero:rpg ; Url:http://www.fastgames.com.br/fairy-fencer-f-advent-dark-force-ps4-pr-11931-187970.htm; Doc:021 ]
21.0 [Titulo:Super Dungeon Bros ; Preco:R$ 125,91; plataforma:ps4; genero:arp ; Url:http://www.fastgames.com.br/super-dungeon-bros-ps4-pr-11955-187970.htm; Doc:022 ]
22.0 [Titulo:Sniper Ghost Warrior 3: Season Pass Edition ; Preco:R$ 197,91; plataforma:xbox one; genero:fps,tiro ; Url:http://www.fastgames.com.br/sniper-ghost-warrior-3-season-pass-edition-xbox-one-pr-12171-187970.htm; Doc:023 ]
23.0 [Titulo:Road Rage ; Preco:R$ 179,91; plataforma:ps4; genero:acao ; Url:http://www.fastgames.com.br/road-rage-pre-venda-ps4-pr-12563-187970.htm; Doc:025 ]
24.0 [Titulo:Kung Fu Panda: Showdown of Legendary Legends ; Preco:R$ 143,91; plataforma:3ds; genero:aventura,luta ; Url:http://www.fastgames.com.br/kung-fu-panda-showdown-of-legendary-legends-3ds-pr-10821-187970.htm; Doc:026 ]
25.0 [Titulo:Birthdays the Beginning: Limited Edition ; Preco:R$ 269,91; plataforma:ps4; genero:aventura ; Url:http://www.fastgames.com.br/birthdays-the-beginning-limited-edition-ps4-pr-13403-187970.htm; Doc:027 ]
26.0 [Titulo:The Walking Dead: A New Frontier ; Preco:R$ 71,91; plataforma:ps4; genero:terror,aventura ; Url:http://www.fastgames.com.br/the-walking-dead-a-new-frontier-ps4-pr-12689-187970.htm; Doc:028 ]
27.0 [Titulo:LEGO Marvel Super Heroes 2 ; Preco:R$ 188,91; plataforma:xbox one; genero:aventura ; Url:http://www.fastgames.com.br/lego-marvel-super-heroes-2-pre-venda-xbox-one-pr-13449-187970.htm; Doc:029 ]
28.0 [Titulo:Utawarerumono: Mask of Deception ; Preco:R$ 233,91; plataforma:ps4; genero:rpg ; Url:http://www.fastgames.com.br/utawarerumono-mask-of-deception-ps4-pr-13501-187970.htm; Doc:030 ]
29.0 [Titulo:LEGO Worlds ; Preco:R$ 107,91; plataforma:ps4; genero:aventura ; Url:http://www.fastgames.com.br/lego-worlds-ps4-pr-12551-187970.htm; Doc:031 ]
30.0 [Titulo:Warhammer: End Times Vermintide ; Preco:R$ 107,91; plataforma:xbox one; genero:acao ; Url:http://www.fastgames.com.br/warhammer-end-times-vermintide-xbox-one-pr-12269-187970.htm; Doc:032 ]
31.0 [Titulo:Carros 3: Correndo Para Vencer ; Preco:R$ 170,91; plataforma:xbox one; genero:corrida ; Url:http://www.fastgames.com.br/carros-3-correndo-para-vencer-xbox-one-pr-13225-187970.htm; Doc:033 ]
32.0 [Titulo:7 Days to Die ; Preco:R$ 143,91; plataforma:ps4; genero:survival,terror ; Url:http://www.fastgames.com.br/jogos-ps4-ct-124-187970.htm; Doc:035 ]
33.0 [Titulo:Tower Of Guns: Special Edition ; Preco:R$ 35,91; plataforma:ps4; genero:fps,tiro ; Url:http://www.fastgames.com.br/loja/catalogo.php?loja=187970&categoria=124&url=jogos-ps4-ct-124-187970&pg=6; Doc:036 ]
34.0 [Titulo:Sniper Ghost Warrior 3: Season Pass Edition ; Preco:R$ 197,91; plataforma:ps4; genero:fps,tiro ; Url:http://www.fastgames.com.br/loja/catalogo.php?loja=187970&categoria=124&url=jogos-ps4-ct-124-187970&pg=5; Doc:037 ]
35.0 [Titulo:Micro Machines World Series ; Preco:R$ 134,91; plataforma:ps4; genero:corrida ; Url:http://www.fastgames.com.br/loja/catalogo.php?loja=187970&categoria=124&url=jogos-ps4-ct-124-187970&pg=4; Doc:038 ]
36.0 [Titulo:God Eater 2: Rage Burst ; Preco:R$ 58,41; plataforma:ps4; genero:acao,rpg ; Url:http://www.fastgames.com.br/loja/catalogo.php?loja=187970&categoria=124&url=jogos-ps4-ct-124-187970&pg=3; Doc:039 ]
37.0 [Titulo:Days Gone ; Preco:R$ 179,91; plataforma:ps4; genero:aventura ; Url:http://www.fastgames.com.br/loja/catalogo.php?loja=187970&categoria=124&url=jogos-ps4-ct-124-187970&pg=2; Doc:040 ]
38.0 [Titulo:7 Days to Die ; Preco:R$ 143,91; plataforma:ps4; genero:survival,terror ; Url:http://www.fastgames.com.br/loja/catalogo.php?loja=187970&categoria=124&url=jogos-ps4-ct-124-187970&pg=1; Doc:041 ]
39.0 [Titulo:Darksiders: Warmastered Edition ; Preco:R$ 143,91; plataforma:ps4; genero:aventura ; Url:http://www.fastgames.com.br/darksiders-warmastered-edition-ps4-pr-12257-187970.htm; Doc:042 ]
40.0 [Titulo:Lanterna Verde: a Ascens?o dos Ca?adores C?smicos ; Preco:R$ 71,91; plataforma:ps3; genero:aventura ; Url:http://www.fastgames.com.br/lanterna-verde-a-ascensao-dos-cacadores-cosmicos-ps3-pr-13463-187970.htm; Doc:043 ]
41.0 [Titulo:Lego: O Hobbit (Jogo + Filme) ; Preco:R$ 134,91; plataforma:ps3; genero:aventura,rpg ; Url:http://www.fastgames.com.br/lego-o-hobbit-jogo-filme-ps3-pr-7804-187970.htm; Doc:044 ]
42.0 [Titulo:XCOM 2 ; Preco:R$ 134,91; plataforma:xbox one; genero:estrategia ; Url:http://www.fastgames.com.br/xcom-2-xbox-one-pr-11961-187970.htm; Doc:045 ]
43.0 [Titulo:Kingdom Hearts III ; Preco:R$ 206,91; plataforma:ps4; genero:rpg ; Url:http://www.fastgames.com.br/kingdom-hearts-iii-pre-venda-ps4-pr-12659-187970.htm; Doc:046 ]
44.0 [Titulo:Sea of Thieves ; Preco:R$ 197,91; plataforma:xbox one; genero:aventura ; Url:http://www.fastgames.com.br/sea-of-thieves-pre-venda-xbox-one-pr-10783-187970.htm; Doc:047 ]
45.0 [Titulo:Mortal Kombat X ; Preco:R$ 44,91; plataforma:pc; genero:luta ; Url:http://www.fastgames.com.br/mortal-kombat-x-pc-pr-9612-187970.htm; Doc:048 ]
46.0 [Titulo:Ace Combat 7: Skies Unknown ; Preco:R$ 197,91; plataforma:ps4; genero:simulador ; Url:http://www.fastgames.com.br/ace-combat-7-skies-unknown-pre-venda-ps4-pr-12661-187970.htm; Doc:049 ]
47.0 [Titulo:FlatOut 4: Total Insanity ; Preco:R$ 233,91; plataforma:ps4; genero:corrida ; Url:http://www.fastgames.com.br/flatout-4-total-insanity-ps4-pr-13509-187970.htm; Doc:050 ]
48.0 [Titulo:Mafia III ; Preco:R$ 134,91; plataforma:xbox one; genero:acao,aventura ; Url:http://www.fastgames.com.br/mafia-iii-xbox-one-pr-10825-187970.htm; Doc:052 ]
49.0 [Titulo:Dead Island 2 ; Preco:R$ 197,91; plataforma:xbox one; genero:survival,terror ; Url:http://www.fastgames.com.br/dead-island-2-pre-venda-xbox-one-pr-10707-187970.htm; Doc:053 ]
50.0 [Titulo:Injustice 2 ; Preco:R$ 202,41; plataforma:xbox one; genero:luta ; Url:http://www.fastgames.com.br/injustice-2-xbox-one-pr-11713-187970.htm; Doc:055 ]
51.0 [Titulo:Deformers ; Preco:R$ 112,41; plataforma:ps4; genero:aventura ; Url:http://www.fastgames.com.br/deformers-ps4-pr-12605-187970.htm; Doc:056 ]
